component_index,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.4722524203275357,0.4722524203275357
2,0.24089083924855734,0.713143259576093
3,0.20762991473923686,0.9207731743153299
4,0.03670767777234271,0.9574808520876726
5,0.018746494326420237,0.9762273464140929
6,0.014637075525111011,0.990864421939204
7,0.0070712023834234965,0.9979356243226275
8,0.0009403914733898723,0.9988760157960174
9,0.000705117782167333,0.9995811335781847
10,0.00029026347475757404,0.9998713970529423
11,8.433251217668831e-05,0.9999557295651189
12,2.4373455981302533e-05,0.9999801030211002
13,1.6215589583111214e-05,0.9999963186106833
14,3.546596734665e-06,0.9999998652074179
15,1.0502723216974176e-07,0.99999997023465
16,2.0641598169598867e-08,0.9999999908762482
17,4.233642445360534e-09,0.9999999951098907
18,2.703458647475212e-09,0.9999999978133494
19,1.599880473814366e-09,0.9999999994132298
20,5.867697999736662e-10,0.9999999999999997
21,2.7034145563384865e-33,0.9999999999999997
