feature,feature_label,mean_abs_spearman_rho,median_abs_spearman_rho,max_abs_spearman_rho,strongest_reaction_id,strongest_reaction_label,strongest_signed_rho
log10_e_over_n,log10_e_over_n,0.8508950120226799,0.9953522243700884,0.9991940421455507,25,AR4SR > AR4SM,-0.9991940421455507
input_10_ar2,AR2*,0.011046900316167672,0.007660205381991062,0.0643063946626981,80,H- -ELASTIC,-0.0643063946626981
input_21_oh,OH*,0.010847874289276985,0.00831266823888579,0.055881265208962264,80,H- -ELASTIC,-0.055881265208962264
input_01_e,E,0.010466533067737776,0.007233633239644897,0.06834688419941796,80,H- -ELASTIC,-0.06834688419941796
input_03_ar4sm,AR4SM,0.01030175367316226,0.007189043941297671,0.0683545966407905,80,H- -ELASTIC,-0.0683545966407905
input_04_ar4sr,AR4SR,0.01030175367316226,0.007189043941297671,0.0683545966407905,80,H- -ELASTIC,-0.0683545966407905
input_05_ar4spm,AR4SPM,0.0102582756715358,0.0071896199717848015,0.0683511208135216,80,H- -ELASTIC,-0.0683511208135216
input_23_oh,OH-,0.010154568392435741,0.008603318398991299,0.04991609045713889,80,H- -ELASTIC,-0.04991609045713889
input_29_h3o,H3O^,0.010150579498529233,0.008589203465266745,0.04992957420176394,80,H- -ELASTIC,-0.04992957420176394
input_25_h2ov,H2OV,0.010150579498529233,0.008589203465266745,0.04992957420176394,80,H- -ELASTIC,-0.04992957420176394
input_20_oh,OH,0.010150579498529233,0.008589203465266745,0.04992957420176394,80,H- -ELASTIC,-0.04992957420176394
input_35_o,O-,0.010150579498529233,0.008589203465266745,0.04992957420176394,80,H- -ELASTIC,-0.04992957420176394
input_06_ar4spr,AR4SPR,0.010000370004699189,0.007080764175081329,0.0677130323518178,80,H- -ELASTIC,-0.0677130323518178
input_12_h,H,0.009710312289068787,0.0073807305466710715,0.05260347762562769,80,H- -ELASTIC,-0.05260347762562769
input_24_h2o,H2O,0.009704200105081981,0.007578317250960212,0.05076503709507105,80,H- -ELASTIC,0.05076503709507105
input_26_h2o,H2O^,0.007374508598571465,0.006222027787817175,0.030515816778776225,80,H- -ELASTIC,-0.030515816778776225
input_09_ar,AR^,0.007355908381694251,0.0061776943253261446,0.0301926654852663,80,H- -ELASTIC,-0.0301926654852663
input_33_o,O,0.007253512415384914,0.00443448345211603,0.05332767587051032,80,H- -ELASTIC,-0.05332767587051032
input_16_h2,H2,0.007253512415384914,0.00443448345211603,0.05332767587051032,80,H- -ELASTIC,-0.05332767587051032
input_28_h2o2,H2O2,0.006949592598855754,0.0041829399445101915,0.05203203818669939,80,H- -ELASTIC,-0.05203203818669939
input_07_ar4p,AR4P,0.006520071302581605,0.0032627674861637358,0.053578330215118264,80,H- -ELASTIC,-0.053578330215118264
input_30_o2,O2,0.004646488043907301,0.0015680646684807281,0.046812534503115996,80,H- -ELASTIC,-0.046812534503115996
input_02_ar3s,AR3S,0.004606178710127045,0.004642131444704359,0.011596911511012716,103,H3+ > H2 + H,-0.011596911511012716
input_15_h,H-,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_34_o,O^,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_32_o2,O2-,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_31_o2,O2^,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_14_h,H^,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_27_ho2,HO2,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_13_h,H*,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_22_oh,OH^,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_08_ar4d,AR4D,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_19_h3,H3^,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_11_ar2,AR2^,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_17_h2,H2*,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
input_18_h2,H2^,0.0,0.0,0.0,1,AR3S-ELASTIC,0.0
