local_case_id,mean_active_reaction_count,min_active_reaction_count,max_active_reaction_count
1,86.0,86,86
2,98.0,98,98
3,99.0,99,99
4,99.0,99,99
5,99.0,99,99
6,122.0,122,122
7,175.0,175,175
8,193.0,193,193
9,194.0,194,194
10,197.0,197,197
11,198.0,198,198
12,198.0,198,198
13,198.0,198,198
14,198.0,198,198
15,198.0,198,198
16,198.0,198,198
17,199.0,199,199
18,199.0,199,199
19,199.0,199,199
20,199.0,199,199
21,199.0,199,199
22,199.0,199,199
23,199.0,199,199
24,199.0,199,199
25,199.0,199,199
26,199.0,199,199
27,199.0,199,199
28,199.0,199,199
29,199.0,199,199
