reaction_id,reaction_label,outlier_fraction_abs_z_gt_3,max_abs_zscore
86,H2 > H2(V=2),0.06896551724137931,3.5880120613486066
179,O2-SINGLET DELTA,0.034482758620689655,5.067842630040939
44,"AR4SPR>AR4P,3D,5S,5P",0.034482758620689655,5.1172184886767
20,"AR4SM>AR4P,3D,5S,5P",0.034482758620689655,5.067742031733336
28,"AR4SR>AR4P,3D,5S,5P",0.034482758620689655,5.082111101587172
81,H- -DETACHMENT,0.034482758620689655,4.935005909513845
180,O2-B-SINGLET SIGMA,0.034482758620689655,4.979501903489212
75,H*  > H**,0.034482758620689655,4.987439846030404
53,"AR4P > AR4D,6S,RYD",0.034482758620689655,4.987570748141968
195,O-1D,0.034482758620689655,4.905415855737369
35,AR4SPM > AR4SPR,0.034482758620689655,3.2745838449126246
36,"AR4SPM>AR4P,3D,5S,5P",0.034482758620689655,5.099864548053411
174,O2-ROTATIONAL,0.034482758620689655,3.3609650445134953
107,OH-V1,0.034482758620689655,5.179517541175279
62,AR4D > AR^,0.034482758620689655,5.094523485291607
130,E + H2O > H2OV(010) + E,0.011494252873563218,4.104234626105333
175,O2-VIB 1,0.009852216748768473,5.646281314329329
18,AR4SM > AR4SPM,0.009852216748768473,3.6965710648959615
27,AR4SR > AR4SPR,0.009852216748768473,3.6798635532267383
178,O2-VIB 4,0.006568144499178982,4.715909418062783
177,O2-VIB 3,0.006568144499178982,5.5104273195166025
85,H2 > H2(V=1),0.006568144499178982,6.125237293463901
131,E + H2O > H2OV(001) + E,0.0049261083743842365,6.868833402418701
19,AR4SM > AR4SPR,0.0049261083743842365,6.579084678496751
176,O2-VIB 2,0.0049261083743842365,8.308718883753455
129,E + H2O > H2OV(100) + E,0.0049261083743842365,6.82460207750553
137,E + H2O > H2O^ + 2E,0.0,1.9414792987981586
144,E + H2O > H(3) [656.3nm] +OH+E,0.0,1.7427188472132376
149,E + H2OV(010) > H2O+E x 1e-10,0.0,2.369408194179572
148,E + H2OV(100) > H2O+E x 1e-10,0.0,2.150099151110288
147,E + H2OV-MOMENTUM TRANSFER,0.0,2.8915577998735733
146,E + H2O >O(3p5P)[777.4nm]+H2+E,0.0,1.7389906411026521
145,E + H2O > H(4) [486.1nm] +OH+E,0.0,1.7390754530171402
142,E + H2O > H + OH(A) + E,0.0,1.9528776811365502
143,E + H2O > H(2) [121.6nm] +OH+E,0.0,1.7540066378709003
141,E + H2O > H^ + OH + 2E,0.0,1.7324603211666585
136,E + H2O > O + 2H + E,0.0,1.9383682460233969
140,E + H2O > H2^ + O + E,0.0,1.3313761554688515
135,E + H2O > OH + H + E,0.0,1.954328189822009
138,E + H2O > OH^ + H + E,0.0,1.7463792169977548
139,E + H2O > O^ + 2H + 2E,0.0,1.4567516797114952
1,AR3S-ELASTIC,0.0,2.156398097074777
134,E + H2O > OH- + H + E,0.0,2.1824997578973613
121,OH^-A2PI--Not Used,0.0,0.0
113,OH-I1SIGMA,0.0,1.9517158043441676
114,OH-D1DELTA,0.0,1.9505043917209897
115,OH-A3PI,0.0,1.9571591276253482
116,OH-A3SIGMA,0.0,1.9533988276079324
117,OH-D3DELTA,0.0,1.9528688353583843
118,OH-E3SIGMA,0.0,1.9528459439166874
119,OH-B3SIGMA,0.0,1.9528282591974964
120,OH^-X2SIGMA--Not Used,0.0,0.0
122,OH^-B2SIGMA--Not Used,0.0,0.0
151,E + H2OV > H- + OH + E,0.0,1.9577112188362613
123,"OH-DISSOC, C^+O--Not Used",0.0,0.0
124,"OH-DISSOC,C+O^--Not used",0.0,0.0
125,OH-Ionization,0.0,1.9414897278497585
126,OH- -MOM,0.0,2.277852442578865
127,OH- -DETACH,0.0,2.187622957392525
128,E + H2O-MOMENTUM TRANSFER,0.0,2.891703785017494
132,E + H2O > H- + OH + E,0.0,1.9576223927046135
133,E + H2O > O- + H2 + E,0.0,2.1827057695714056
150,E + H2OV(001) > H2O+E x 1e-10,0.0,2.156862743073844
160,E + H2OV > H^ + OH + 2E,0.0,1.7357120242943913
152,E + H2OV > O- + H2 + E,0.0,2.184509998192067
182,O2-VIB 2(res),0.0,2.185803150902512
184,O2-ELECTRONIC 6EV,0.0,1.9570459849359803
185,O2-ELECTRONIC 8.4EV,0.0,1.9546657703052026
186,O2-ELECTRONIC 10EV,0.0,1.9505106776011254
187,O2-IONIZATION,0.0,1.945969833099024
188,02-130NM LINE EXCITE,0.0,1.9304429848433455
189,O + O^ + E + E,0.0,1.745150094390007
190,O2+ -ELASTIC,0.0,2.2778317837756745
191,O2+ -RECOMBINATION,0.0,2.1587658338343854
192,O2- -MOMENTUM TRANSFER,0.0,2.2778898312718012
193,E + O2- > O2 + E + E,0.0,2.185532111550262
194,O-MOMENTUM,0.0,2.1880250155906196
196,O-1S,0.0,2.1855449137893213
197,O-3s 5S0,0.0,1.9526082326107344
198,O-3s 3S0,0.0,1.9528773217115367
199,O-3p 5P,0.0,1.9515018398643036
200,O-3p 3P,0.0,1.9509788327668536
201,O-ION,0.0,1.9406678511075042
202,O+ -ELASTIC,0.0,2.2778317837756745
203,O- ELASTIC,0.0,2.2778317837756745
183,O2-ELECTRONIC 4.5EV,0.0,2.1831933169746365
181,O2-VIB 1(res),0.0,2.1855460322976104
153,E + H2OV > OH- + H + E,0.0,2.1843188942853646
173,O2-ATTACHMENT TWO BODY,0.0,2.180690357921754
154,E + H2OV > OH + H + E,0.0,1.954823525815745
155,E + H2OV > O + 2H + E,0.0,1.9404294289433204
156,E + H2OV > H2O^ + 2E,0.0,1.943235039836226
157,E + H2OV > OH^ + H + E,0.0,1.7479299451124373
158,E + H2OV > O^ + 2H + 2E,0.0,1.5709068145062923
159,E + H2OV > H2^ + O + E,0.0,1.42139514330714
111,OH-E1PI,0.0,1.937080665944098
161,E + H2OV > H + OH(A) + E,0.0,1.9533411453287997
162,E + H2OV > H(2)[121.6nm] +OH+E,0.0,1.7555429572942678
163,E + H2OV > H(3)[656.3nm] +OH+E,0.0,1.744463107280172
164,E + H2OV > H(4)[486.1nm] +OH+E,0.0,1.741009377705823
165,E + H2OV>O(3p5P)[777.4nm]+H2+E,0.0,1.740887921015873
166,E + H2OV > H2O+E (average),0.0,2.1320355196952807
167,H2O+ -MOMTIC,0.0,2.2778317837756745
168,H2O+ -RECOMBINATION,0.0,2.1589071064325567
169,H2O2-MOM,0.0,2.2046686525746804
170,H2O2 > H2O + O-,0.0,2.483226971084546
171,H2O2 > OH + OH-,0.0,2.483364651069516
172,O2-MOMENTUM,0.0,2.3116552192085296
112,OH-B1SIGMA,0.0,1.9498813103637398
103,H3+ > H2 + H,0.0,2.0545456428988307
110,OH-C1SIGMA,0.0,1.9489351813761386
43,AR4SPR > AR4SPM,0.0,2.0835741753794093
32,AR4SPM > AR3S,0.0,2.229386873457186
33,AR4SPM > AR4SM,0.0,2.1305995130801536
34,AR4SPM > AR4SR,0.0,2.1305995130801536
37,"AR4SPM > AR4D,6S,RYD",0.0,2.188674225886061
38,AR4SPM > AR^,0.0,2.1845156753975554
39,AR4SPR-ELASTIC,0.0,2.0125898770804005
40,AR4SPR > AR3S,0.0,2.1807870949981862
41,AR4SPR > AR4SM,0.0,2.1305995130801536
42,AR4SPR > AR4SR,0.0,2.1305995130801536
45,"AR4SPR > AR4D,6S,RYD",0.0,2.1888541104233084
30,AR4SR > AR^,0.0,2.184055962313251
46,AR4SPR > AR^,0.0,2.1849604074568156
47,AR4P-ELASTIC,0.0,2.2046686525746804
48,AR4P > AR3S,0.0,2.280059029577022
49,AR4P > AR4SM,0.0,2.2848666760385408
50,AR4P > AR4SR,0.0,2.2908287037080033
51,AR4P > AR4SPM,0.0,2.299455635540298
52,AR4P > AR4SPR,0.0,2.3097131741340817
54,AR4P > AR^,0.0,2.188229932845326
55,AR4D-ELASTIC,0.0,2.2036915753903745
31,AR4SPM-ELASTIC,0.0,2.314135354470052
29,"AR4SR > AR4D,6S,RYD",0.0,2.1884923509319933
109,OH-DISSOC,0.0,1.9460866679987818
12,AR3S > AR-RYD,0.0,1.757040513951547
3,AR3S > AR4SR,0.0,1.9495266431751672
4,AR3S > AR4SPM,0.0,1.9483070532512212
5,AR3S > AR4SPR,0.0,1.947774762825142
6,AR3S > AR4P,0.0,1.9452220105744922
7,AR3S > AR3D,0.0,1.9408089787376794
8,AR3S > AR5S,0.0,1.9385923218826049
9,AR3S > AR5P,0.0,1.938169842011333
10,AR3S > AR4D,0.0,1.930711594596849
11,AR3S > AR6S,0.0,1.928464811023458
13,AR3S > AR^,0.0,1.7550073341016632
26,AR4SR > AR4SPM,0.0,2.897221106039195
14,AR3S > AR^^,0.0,1.3732152447441242
15,AR4SM-ELASTIC,0.0,2.245853506921239
16,AR4SM > AR3S,0.0,2.221332569483374
17,AR4SM > AR4SR,0.0,2.9337010008914763
21,"AR4SM > AR4D,6S,RYD",0.0,2.188345118948716
22,AR4SM > AR^,0.0,2.183668074047637
23,AR4SR-ELASTIC,0.0,1.693259795462295
24,AR4SR > AR3S,0.0,2.2872842457142712
25,AR4SR > AR4SM,0.0,2.1305995130801536
56,AR4D > AR3S,0.0,2.173476200554482
57,AR4D > AR4SM,0.0,2.300917413837916
58,AR4D > AR4SR,0.0,2.3013360865376904
97,H2+ > H+ + H,0.0,2.304199716849883
88,H2 > H2(c 3 PI),0.0,1.9510532165353256
89,H2 > H + H,0.0,1.9535731333192374
90,H2 > H2+,0.0,1.7571770257825787
91,H2 > H*(ALPHA),0.0,1.7537738959785418
92,H2 > H + H,0.0,1.9502175567629838
93,H2* -ELASTIC,0.0,2.3878566098300222
94,H2*  > H2,0.0,2.2178668225996425
95,H2*  > H2^,0.0,1.955820581552853
96,H2+ -ELASTIC,0.0,2.277832795708011
98,H2+ > H + H,0.0,2.1272073089433916
59,AR4D > AR4SPM,0.0,2.3019870125130657
99,H2+ > H+ + H-,0.0,2.0536543534046663
100,H3+ -ELASTIC,0.0,2.277866763483269
101,H3+ > H+ + H,0.0,1.933198962426893
102,H3+ > H + H2,0.0,2.1358174452366048
2,AR3S > AR4SM,0.0,1.9490678360683524
104,H3+ > H + H + H,0.0,2.054519485248308
105,H3+ > H^ + H + H,0.0,1.7516893750992208
106,OH-MOM TRANS,0.0,2.405921319779871
108,OH-A1PI,0.0,1.953120267241779
87,H2 > H2(b 3 SIGMA),0.0,1.953183470685071
84,H2-ROTATIONAL (1-3),0.0,2.422053246050034
83,H2-ROTATIONAL (0-2),0.0,2.3551316441569834
82,H2-ELASTIC,0.0,2.385781714839829
60,AR4D > AR4SPR,0.0,2.3026915433705297
61,"AR4D > AR4P,3D,5S,5P",0.0,2.3257961683171735
63,AR+ -ELASTIC,0.0,2.2778317837756745
64,AR+ -RECOMBINATION,0.0,2.15895419568324
65,AR+ IONIZATION,0.0,1.4468533363710545
66,AR2+ -MOMTIC,0.0,2.2778317837756745
67,AR2+ -RECOMBINATION,0.0,2.1589071064325567
68,H -ELASTIC,0.0,2.3867006242663753
69,H > H*,0.0,1.9517574856182822
70,H > H**,0.0,1.9480744849151743
71,H > H***,0.0,1.944866959217392
72,H > H+,0.0,1.9403627057548318
73,H* -ELASTIC,0.0,2.2184790388380073
74,H*  > H,0.0,2.2097570227509284
76,H*  > H***,0.0,2.1892369438643646
77,H*  > H^,0.0,2.1873011086361123
78,H+ -ELASTIC,0.0,2.2778317837756745
79,H+ -RECOMBINATION,0.0,2.158758316072034
80,H- -ELASTIC,0.0,2.2788004499701926
204,O- Detachment,0.0,2.185305435002199
