e_over_n_v_cm2,case_count,density_group_min,density_group_max,local_case_id_min,local_case_id_max
1e-20,21,1,21,1,1
1e-19,21,1,21,2,2
3e-19,21,1,21,3,3
1e-18,21,1,21,4,4
3e-18,21,1,21,5,5
1e-17,21,1,21,6,6
3e-17,21,1,21,7,7
6e-17,21,1,21,8,8
1e-16,21,1,21,9,9
1.5e-16,21,1,21,10,10
2e-16,21,1,21,11,11
3e-16,21,1,21,12,12
4e-16,21,1,21,13,13
5e-16,21,1,21,14,14
6e-16,21,1,21,15,15
8e-16,21,1,21,16,16
1e-15,21,1,21,17,17
1.25e-15,21,1,21,18,18
1.5e-15,21,1,21,19,19
1.75e-15,21,1,21,20,20
2e-15,21,1,21,21,21
2.33e-15,21,1,21,22,22
2.66e-15,21,1,21,23,23
3e-15,21,1,21,24,24
3.5e-15,21,1,21,25,25
4e-15,21,1,21,26,26
6e-15,21,1,21,27,27
8e-15,21,1,21,28,28
1e-14,21,1,21,29,29
